age,gender_M,in_state,race_Asian,race_White,race_Hispanic,race_Black,race_Other,sat_math,sat_ebrw,act_composite,gpa,extracurriculars_count,first_gen,legacy,athlete,admit
18,1,0,1,0,0,0,0,758,767,33,3.81,3,1,0,1,1
19,1,0,0,1,0,0,0,767,742,33,3.74,3,0,0,1,1
18,0,0,0,0,1,0,0,747,745,33,4.0,4,0,0,0,1
18,1,0,0,0,1,0,0,767,759,34,3.78,4,0,0,0,0
18,0,0,0,0,0,1,0,754,753,35,4.0,3,0,0,0,0
18,1,0,0,0,0,0,1,758,755,34,4.0,3,0,1,0,1
18,0,0,0,0,0,0,1,768,748,34,3.99,0,0,0,0,0
18,1,0,0,1,0,0,0,791,756,33,3.74,1,0,0,0,1
18,0,0,0,1,0,0,0,774,742,34,3.89,3,0,1,0,0
18,0,0,0,1,0,0,0,741,744,34,3.97,4,0,0,0,0
17,1,0,0,1,0,0,0,750,740,34,4.0,2,0,0,0,0
19,0,1,1,0,0,0,0,744,751,34,3.77,0,0,0,0,0
18,1,0,0,0,1,0,0,753,766,34,3.82,4,0,0,0,0
18,1,0,1,0,0,0,0,761,760,35,3.73,4,1,1,0,1
18,0,0,0,0,0,0,1,752,754,34,3.77,0,0,0,0,0
18,1,0,1,0,0,0,0,768,767,34,3.95,4,0,0,0,1
18,0,0,0,0,1,0,0,787,751,34,3.87,1,0,0,0,0
18,1,0,0,1,0,0,0,787,754,34,4.0,5,0,1,0,1
18,1,0,0,1,0,0,0,761,751,34,3.87,2,0,0,0,0
18,0,0,0,1,0,0,0,760,749,35,4.0,2,0,0,0,1
18,0,0,1,0,0,0,0,783,740,33,4.0,3,0,0,0,0
18,1,0,0,0,0,0,1,765,763,33,3.69,1,1,0,0,1
18,1,0,0,1,0,0,0,797,743,34,3.96,5,0,0,0,0
18,1,1,0,1,0,0,0,767,744,34,4.0,4,0,0,0,0
18,0,0,0,1,0,0,0,756,745,35,4.0,5,0,1,0,1
18,1,0,0,1,0,0,0,740,749,33,3.91,5,0,0,0,0
18,0,0,1,0,0,0,0,796,765,34,3.99,2,0,0,0,0
18,1,1,0,0,1,0,0,748,762,34,3.92,2,0,0,0,0
18,0,0,0,0,0,0,1,752,744,34,3.94,5,0,0,0,0
17,0,0,0,0,0,0,1,743,767,34,4.0,3,0,0,0,0
18,1,0,0,0,0,1,0,768,761,33,3.77,0,0,0,0,0
18,0,0,0,0,1,0,0,765,755,34,3.92,3,0,0,1,0
18,1,0,1,0,0,0,0,787,749,33,3.96,4,0,0,0,0
18,1,0,1,0,0,0,0,772,764,34,3.95,4,0,0,0,0
19,1,1,1,0,0,0,0,774,767,33,4.0,3,0,0,0,0
18,0,0,0,1,0,0,0,785,742,34,3.75,3,0,0,0,0
18,0,0,0,1,0,0,0,774,768,35,3.84,2,0,0,0,0
18,1,1,0,1,0,0,0,773,768,33,3.84,4,0,0,0,1
18,0,1,1,0,0,0,0,794,769,35,3.92,4,0,0,0,0
18,0,0,1,0,0,0,0,766,747,34,3.81,1,0,0,0,0
18,1,0,1,0,0,0,0,776,754,34,4.0,3,0,0,0,0
18,1,0,1,0,0,0,0,764,746,35,3.86,4,0,0,0,0
17,0,0,0,0,1,0,0,777,756,35,3.75,3,0,0,0,0
18,1,0,1,0,0,0,0,740,762,33,4.0,4,0,0,0,0
18,1,0,0,0,1,0,0,781,759,34,4.0,3,0,1,0,0
18,1,0,1,0,0,0,0,785,752,35,4.0,2,0,0,0,1
18,0,0,0,1,0,0,0,790,764,34,4.0,4,1,0,0,0
18,0,0,0,1,0,0,0,769,760,35,3.81,3,0,0,0,0
18,1,0,0,0,1,0,0,758,742,33,3.77,3,0,0,0,0
18,1,0,1,0,0,0,0,782,768,34,3.87,4,0,0,0,1
19,0,0,0,1,0,0,0,795,766,34,4.0,2,0,1,0,1
18,1,0,0,1,0,0,0,784,765,33,4.0,1,0,0,0,0
18,0,0,0,1,0,0,0,793,756,33,3.76,2,0,0,0,1
18,1,0,0,1,0,0,0,748,753,34,3.73,1,0,0,0,0
18,1,0,1,0,0,0,0,794,756,33,4.0,2,0,0,0,0
18,1,0,0,0,0,1,0,781,768,34,3.64,3,0,0,0,0
18,0,0,0,1,0,0,0,787,762,35,4.0,4,0,0,0,0
18,0,0,1,0,0,0,0,765,742,34,3.66,1,0,0,0,0
17,0,0,0,0,0,0,1,773,758,34,4.0,2,0,0,0,0
18,0,0,0,1,0,0,0,775,744,34,4.0,1,0,0,0,0
18,0,1,1,0,0,0,0,770,756,35,3.82,5,0,0,0,1
18,0,0,1,0,0,0,0,747,753,33,4.0,5,0,0,0,1
18,1,0,1,0,0,0,0,755,759,35,4.0,3,0,0,0,0
18,0,0,1,0,0,0,0,750,748,33,4.0,3,1,0,0,0
18,1,1,1,0,0,0,0,787,746,34,3.92,3,0,0,0,0
18,0,0,0,0,1,0,0,763,764,35,3.97,3,0,0,1,1
18,1,0,0,1,0,0,0,758,767,34,3.87,5,0,0,0,0
18,1,0,1,0,0,0,0,754,746,34,3.94,2,0,0,0,0
18,0,1,0,0,0,0,1,780,749,33,3.96,5,0,0,0,0
19,1,0,1,0,0,0,0,771,740,34,3.78,5,1,0,0,1
18,1,0,0,0,1,0,0,774,759,35,3.86,2,0,0,0,0
18,0,1,0,1,0,0,0,783,768,34,3.85,3,0,0,0,1
17,1,0,0,1,0,0,0,797,752,34,3.82,3,0,0,0,1
18,0,0,0,1,0,0,0,782,756,34,4.0,3,0,0,0,1
18,0,0,0,1,0,0,0,797,750,34,3.96,2,0,0,0,0
18,1,0,0,0,0,0,1,780,758,35,3.91,5,0,0,0,1
18,0,0,0,1,0,0,0,779,753,34,4.0,4,0,0,0,0
18,0,0,0,1,0,0,0,750,765,34,3.6,4,0,0,0,0
18,1,0,0,0,0,1,0,747,768,35,4.0,2,0,0,0,0
18,1,0,0,0,0,0,1,741,749,33,3.99,1,0,1,0,1
18,1,0,0,0,1,0,0,780,756,35,3.91,0,1,0,0,0
18,1,1,0,1,0,0,0,777,757,34,4.0,4,0,0,0,0
18,1,0,1,0,0,0,0,776,743,33,4.0,5,0,0,0,0
18,0,0,0,0,0,0,1,776,746,33,3.98,0,0,0,0,1
18,1,0,0,0,0,1,0,779,764,35,4.0,4,0,0,0,0
18,0,0,0,0,0,0,1,788,752,34,4.0,5,0,0,0,1
18,1,0,1,0,0,0,0,781,742,35,3.97,2,0,0,0,0
18,1,0,0,0,0,0,1,775,758,34,4.0,0,0,0,0,0
18,1,1,0,0,0,0,1,754,752,33,4.0,1,0,0,0,0
18,1,0,0,1,0,0,0,784,766,34,3.99,5,0,0,0,0
18,1,0,1,0,0,0,0,756,750,34,3.81,2,0,0,0,1
18,1,1,0,1,0,0,0,779,760,33,3.83,3,1,0,0,0
18,1,0,0,1,0,0,0,749,747,34,3.91,1,1,0,1,1
18,1,0,0,1,0,0,0,770,767,33,3.8,5,0,0,0,0
18,0,0,0,1,0,0,0,776,768,34,3.89,1,0,0,0,0
18,1,0,1,0,0,0,0,787,754,34,3.9,3,0,0,0,0
18,0,0,0,1,0,0,0,780,748,33,3.91,2,0,0,0,0
18,1,1,0,1,0,0,0,786,740,34,3.96,1,0,0,0,0
17,0,0,1,0,0,0,0,789,756,35,4.0,1,0,0,1,1
18,1,0,1,0,0,0,0,790,759,35,3.97,5,0,0,0,0
17,0,1,0,0,1,0,0,791,757,34,3.72,2,1,0,0,0
18,0,0,0,0,0,1,0,757,758,34,4.0,5,0,1,0,1
18,1,0,0,0,1,0,0,786,744,34,4.0,3,1,0,0,0
18,0,0,1,0,0,0,0,741,747,34,3.83,2,0,0,0,1
18,0,0,1,0,0,0,0,795,763,35,4.0,5,1,1,0,1
18,1,1,1,0,0,0,0,753,743,34,4.0,3,0,0,0,1
18,0,0,0,0,0,0,1,791,760,34,3.98,3,0,0,0,0
18,1,0,0,1,0,0,0,786,764,35,3.97,4,0,0,0,0
18,1,1,0,0,0,0,1,764,751,33,4.0,2,0,1,0,0
18,1,0,0,0,1,0,0,797,740,34,3.69,2,0,0,0,0
